Name,ID,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history,source
Kevin Kampl,53418,€2.50m,"Jun 5, 2025","Oct 9, 1990",34,1.78,Slovenia,[],Central Midfield,,RB Leipzig,,,"Aug 31, 2017","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Salih Özcan,244940,€4.00m,"Jun 5, 2025","Jan 11, 1998",27,1.83,Türkiye,[],Defensive Midfield,,Bor. Dortmund,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kristijan Jakic,374954,€6.50m,"Jun 5, 2025","May 14, 1997",28,1.84,Croatia,[],Defensive Midfield,,FC Augsburg,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Rafael Borré,323831,€7.00m,"Jun 6, 2025","Sep 15, 1995",29,1.74,Colombia,[],Centre-Forward,,Internacional,,,"Mar 5, 2024","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Julian Brandt,187492,€25.00m,"Jun 5, 2025","May 2, 1996",29,1.85,Germany,[],Attacking Midfield,,Bor. Dortmund,,,"Jul 1, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tobias Sippel,31653,€300k,"Jun 5, 2025","Mar 22, 1988",37,1.83,Germany,[],Goalkeeper,,Bor. M'gladbach,,,"Jul 1, 2015","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Daley Sinkgraven,215099,€600k,"May 28, 2025","Jul 4, 1995",30,1.79,Netherlands,[],Left-Back,,Fortuna Sittard,,,"Feb 3, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Robin Zentner,160963,€4.00m,"Jun 5, 2025","Oct 28, 1994",30,1.95,Germany,[],Goalkeeper,,1.FSV Mainz 05,,,"Jul 1, 2014","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Felix Götze,330635,€2.00m,"Jun 19, 2025","Feb 11, 1998",27,1.85,Germany,['Germany'],Centre-Back,"                    0
0  Defensive Midfield
1    Central Midfield",SC Paderborn,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nacho Ferri,867357,€2.20m,"Jun 12, 2025","Oct 5, 2004",20,1.92,Spain,[],Centre-Forward,,KVC Westerlo,,,"Jul 8, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jonas Hofmann,7161,€2.00m,"Jun 5, 2025","Jul 14, 1992",33,1.76,Germany,['Germany'],Attacking Midfield,"              0
0  Right Winger",B. Leverkusen,,,"Jul 5, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Joe Scally,504153,€10.00m,"Jun 5, 2025","Dec 31, 2002",22,1.84,United States,[],Right-Back,,Bor. M'gladbach,,,"Jan 1, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Thomas Delaney,91849,€1.20m,"Jun 16, 2025","Sep 3, 1991",33,1.82,Denmark,[],Central Midfield,,FC Copenhagen,,,"Jul 20, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Dominik Kohr,118847,€3.50m,"Jun 5, 2025","Jan 31, 1994",31,1.83,Germany,[],Centre-Back,,1.FSV Mainz 05,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Niklas Tauer,470815,€500k,"Jun 19, 2025","Feb 17, 2001",24,1.83,Germany,[],Defensive Midfield,,1.FSV Mainz 05,,,"Sep 27, 2019",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Maurice Malone,405568,€2.20m,"Jun 6, 2025","Aug 17, 2000",24,1.87,Germany,[],Centre-Forward,,Austria Vienna,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Lucas Laux,584062,€75k,"Jun 11, 2025","Oct 14, 2002",22,1.83,Germany,['Germany'],Centre-Back,"                    0
0  Defensive Midfield",Eintracht Trier,,,"Jul 10, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Sebastiaan Bornauw,338629,€6.00m,"Jun 5, 2025","Mar 22, 1999",26,1.91,Belgium,[],Centre-Back,,Leeds,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Paul Wanner,900909,€18.00m,"Jun 5, 2025","Dec 23, 2005",19,1.85,Germany,[],Attacking Midfield,,Bayern Munich,,,"Jan 31, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mert Kömür,777005,€5.00m,"Jun 5, 2025","Jul 17, 2005",20,1.83,Germany,"['Germany', 'Türkiye']",Attacking Midfield,"                  0
0  Central Midfield",FC Augsburg,,,"Jul 1, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Adam Hlozek,552057,€18.00m,"Jun 5, 2025","Jul 25, 2002",23,1.88,Czech Republic,[],Second Striker,,TSG Hoffenheim,,,"Aug 17, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Munas Dabbur,145866,€1.30m,"May 29, 2025","May 14, 1992",33,1.82,Israel,[],Centre-Forward,,Shabab Al-Ahli,,,"Jul 12, 2023",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marcel Wenig,654872,€300k,"Jun 11, 2025","May 4, 2004",21,1.88,Germany,[],Attacking Midfield,,SSV Ulm 1846,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Arne Engels,565435,€12.00m,"Jun 17, 2025","Sep 8, 2003",21,1.85,Belgium,[],Central Midfield,,Celtic,,,"Aug 30, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Delano Burgzorg,436585,€3.00m,"May 27, 2025","Nov 7, 1998",26,1.86,Suriname,[],Left Winger,,Middlesbrough,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Aaron Zehnter,730484,€6.00m,"Jun 19, 2025","Oct 31, 2004",20,1.8,Germany,[],Left Midfield,,VfL Wolfsburg,,,"Jul 1, 2025","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mehdi Loune,519869,€150k,"Jun 11, 2025","May 14, 2004",21,1.72,Germany,[],Central Midfield,,Without Club,E. Frankfurt II,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Elvis Rexhbecaj,280575,€3.50m,"Jun 5, 2025","Nov 1, 1997",27,1.82,Kosovo,[],Central Midfield,,FC Augsburg,,,"Jul 27, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Patrick Pentz,223972,€2.50m,"Jun 16, 2025","Jan 2, 1997",28,1.83,Austria,[],Goalkeeper,,Bröndby IF,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Thomas Meunier,100986,€2.00m,"Jun 3, 2025","Sep 12, 1991",33,1.91,Belgium,[],Right-Back,,LOSC Lille,,,"Jul 19, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Christopher Nkunku,344381,€35.00m,"May 30, 2025","Nov 14, 1997",27,1.77,France,[],Centre-Forward,,Chelsea,,,"Jul 1, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Kilian Fischer,435796,€6.00m,"Jun 5, 2025","Oct 12, 2000",24,1.82,Germany,[],Right-Back,,VfL Wolfsburg,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Finn Dahmen,251299,€9.00m,"Jun 5, 2025","Mar 27, 1998",27,1.86,Germany,[],Goalkeeper,,FC Augsburg,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jens Petter Hauge,422355,€4.00m,"Jun 18, 2025","Oct 12, 1999",25,1.84,Norway,[],Left Winger,,Bodø/Glimt,,,"Jan 30, 2025","Dec 31, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Karim Bellarabi,61087,,,"Apr 8, 1990",35,1.84,Germany,[],Right Winger,,Retired,B. Leverkusen,"Jul 1, 2023",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jeffrey Gouweleeuw,106405,€1.50m,"Jun 5, 2025","Jul 10, 1991",34,1.88,Netherlands,[],Centre-Back,,FC Augsburg,,,"Jan 9, 2016","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Marco Pašalić,395928,€5.00m,"Jun 5, 2025","Sep 14, 2000",24,1.77,Croatia,[],Right Winger,,Orlando,,,"Feb 5, 2025","Dec 31, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Zidan Sertdemir,788445,€2.00m,"Jun 16, 2025","Feb 4, 2005",20,1.86,Denmark,[],Central Midfield,,Nordsjaelland,,,"Jan 31, 2023","Dec 31, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Noah Mbamba,743395,€1.50m,"Jun 12, 2025","Jan 5, 2005",20,1.96,Belgium,[],Central Midfield,,FCV Dender EH,,,"Feb 3, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Dominik Szoboszlai,451276,€80.00m,"May 30, 2025","Oct 25, 2000",24,1.87,Hungary,[],Attacking Midfield,,Liverpool,,,"Jul 2, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Maximilian Brüll,596103,€75k,"Jun 23, 2025","Aug 26, 2002",22,1.87,Germany,[],Goalkeeper,,M'gladbach II,,,"Jul 1, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Andreas Hanche-Olsen,370683,€6.00m,"Jun 5, 2025","Jan 17, 1997",28,1.85,Norway,[],Centre-Back,,1.FSV Mainz 05,,,"Jan 13, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nico Schlotterbeck,388198,€40.00m,"Jun 5, 2025","Dec 1, 1999",25,1.91,Germany,['Germany'],Centre-Back,"           0
0  Left-Back",Bor. Dortmund,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Oscar Fraulo,610428,€3.50m,"May 28, 2025","Dec 6, 2003",21,1.8,Denmark,[],Central Midfield,,Bor. M'gladbach,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Bartol Franjic,370998,€1.50m,"Jun 9, 2025","Jan 14, 2000",25,1.88,Croatia,[],Left-Back,,Venezia,,,"Jul 10, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Philipp Schulze,574203,€350k,"Jun 11, 2025","Jan 29, 2003",22,1.9,Germany,[],Goalkeeper,,SC Verl,,,"Jul 1, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Leandro Barreiro,357233,€15.00m,"May 30, 2025","Jan 3, 2000",25,1.74,Luxembourg,[],Central Midfield,,Benfica,,,"Jul 2, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Anton Stach,344069,€14.00m,"Jun 5, 2025","Nov 15, 1998",26,1.94,Germany,[],Defensive Midfield,,Leeds,,,"Jul 22, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tuta,546213,€15.00m,"Jun 5, 2025","Jul 4, 1999",26,1.85,Brazil,['Brazil'],Centre-Back,"                    0
0          Right-Back
1  Defensive Midfield",E. Frankfurt,,,"Jan 31, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Timothy Chandler,49723,€350k,"Jun 5, 2025","Mar 29, 1990",35,1.87,United States,"['Germany', 'United States']",Right-Back,"                0
0  Right Midfield
1   Left Midfield",E. Frankfurt,,,"Jul 1, 2014","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Lukas Petkov,401639,€1.20m,"Jun 19, 2025","Nov 1, 2000",24,1.83,Bulgaria,[],Right Winger,,SV Elversberg,,,"Aug 21, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Reece Oxford,314295,€500k,"Jun 5, 2025","Dec 16, 1998",26,1.9,England,[],Centre-Back,,Without Club,FC Augsburg,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Max Kruse,36182,,,"Mar 19, 1988",37,1.8,Germany,['Germany'],Second Striker,"                    0
0      Centre-Forward
1  Attacking Midfield",BSV Dersim II,,,"Apr 19, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jérôme Roussillon,127076,€800k,"Jun 5, 2025","Jan 6, 1993",32,1.75,Guadeloupe,"['Guadeloupe', 'France']",Left-Back,"               0
0  Left Midfield",Without Club,Union Berlin,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ryan Gravenberch,478573,€75.00m,"May 30, 2025","May 16, 2002",23,1.9,Netherlands,[],Defensive Midfield,,Liverpool,,,"Sep 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Sven Ulreich,40680,€500k,"Jun 5, 2025","Aug 3, 1988",36,1.92,Germany,[],Goalkeeper,,Bayern Munich,,,"Jul 1, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Christoph Baumgartner,324278,€12.00m,"Jun 5, 2025","Aug 1, 1999",26,1.8,Austria,['Austria'],Attacking Midfield,"                0
0  Second Striker
1     Left Winger",RB Leipzig,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Konrad Laimer,223967,€25.00m,"Jun 5, 2025","May 27, 1997",28,1.8,Austria,[],Right-Back,,Bayern Munich,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Niklas Dorsch,251302,€3.50m,"Jun 5, 2025","Jan 15, 1998",27,1.78,Germany,[],Defensive Midfield,,Heidenheim,,,"Aug 30, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Sebastiaan Bornauw,338629,€6.00m,"Jun 5, 2025","Mar 22, 1999",26,1.91,Belgium,['Belgium'],Centre-Back,"            0
0  Right-Back",Leeds,,,"Jul 1, 2025","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Angeliño,277179,€20.00m,"Jun 17, 2025","Jan 4, 1997",28,1.71,Spain,[],Left-Back,,AS Roma,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tom Rothe,798043,€10.00m,"Jun 5, 2025","Oct 29, 2004",20,1.93,Germany,[],Left Midfield,,Union Berlin,,,"Aug 7, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mohamed Simakan,666234,€23.00m,"May 27, 2025","May 3, 2000",25,1.87,France,"['France', 'Guinea']",Centre-Back,"            0
0  Right-Back",Al-Nassr,,,"Sep 2, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jonas Wind,391004,€12.00m,"Jun 5, 2025","Feb 7, 1999",26,1.9,Denmark,[],Centre-Forward,,VfL Wolfsburg,,,"Jan 31, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Stanley Nsoki,371141,€2.50m,"Jun 5, 2025","Apr 9, 1999",26,1.84,France,[],Centre-Back,,Union Berlin,,,"Jul 24, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Semir Telalovic,583767,€1.50m,"Jun 19, 2025","Dec 23, 1999",25,1.87,Germany,[],Centre-Forward,,1.FC Nuremberg,,,"Jul 1, 2025",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jonas Hofmann,7161,€2.00m,"Jun 5, 2025","Jul 14, 1992",33,1.76,Germany,[],Attacking Midfield,,B. Leverkusen,,,"Jul 5, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Manuel Neuer,17259,€4.00m,"Jun 5, 2025","Mar 27, 1986",39,1.93,Germany,['Germany'],Goalkeeper,,Bayern Munich,,,"Jul 1, 2011","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Tom Rothe,798043,€10.00m,"Jun 5, 2025","Oct 29, 2004",20,1.93,Germany,['Germany'],Left Midfield,"             0
0    Left-Back
1  Centre-Back",Union Berlin,,,"Aug 7, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jesper Lindstrøm,513245,€18.00m,"May 30, 2025","Feb 29, 2000",25,1.82,Denmark,[],Right Winger,,VfL Wolfsburg,,,"Jul 23, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Mamadou Doucouré,340480,,,"May 21, 1998",27,1.83,France,[],Centre-Back,,Without Club,Bor. M'gladbach,"Jul 1, 2024",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Nico Elvedi,192635,€8.00m,"Jun 5, 2025","Sep 30, 1996",28,1.89,Switzerland,[],Centre-Back,,Bor. M'gladbach,,,"Jul 1, 2015","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Felix Nmecha,406640,€28.00m,"Jun 5, 2025","Oct 10, 2000",24,1.9,Germany,"['Germany', 'England']",Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Bor. Dortmund,,,"Jul 3, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Jérôme Roussillon,127076,€800k,"Jun 5, 2025","Jan 6, 1993",32,1.75,Guadeloupe,[],Left-Back,,Without Club,Union Berlin,"Jul 1, 2025",,,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Göktan Gürpüz,655912,€1.00m,"Jun 25, 2025","Jan 22, 2003",22,1.78,Türkiye,[],Attacking Midfield,,Genclerbirligi,,,"Jul 31, 2025","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Edmond Tapsoba,564545,€35.00m,"Jun 5, 2025","Feb 2, 1999",26,1.94,Burkina Faso,[],Centre-Back,,B. Leverkusen,,,"Jan 31, 2020","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Dennis Geiger,251309,€2.00m,"Jun 5, 2025","Jun 10, 1998",27,1.73,Germany,[],Central Midfield,,TSG Hoffenheim,,,"Jul 1, 2016","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Oliver Baumann,55089,€3.00m,"Jun 5, 2025","Jun 2, 1990",35,1.87,Germany,[],Goalkeeper,,TSG Hoffenheim,,,"Jul 1, 2014","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Umut Tohumcu,569031,€6.00m,"Jun 5, 2025","Aug 11, 2004",20,1.75,Germany,[],Central Midfield,,TSG Hoffenheim,,,"Jan 18, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Serge Gnabry,159471,€22.00m,"Jun 5, 2025","Jul 14, 1995",30,1.76,Germany,"['Germany', ""Cote d'Ivoire""]",Left Winger,"                0
0    Right Winger
1  Second Striker",Bayern Munich,,,"Jul 1, 2017","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Andrej Kramaric,46580,€4.00m,"Jun 5, 2025","Jun 19, 1991",34,1.77,Croatia,[],Attacking Midfield,,TSG Hoffenheim,,,"Jul 1, 2016","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Ridle Baku,327251,€9.00m,"Jun 5, 2025","Apr 8, 1998",27,1.76,Germany,[],Right-Back,,RB Leipzig,,,"Jan 10, 2025","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Moritz Nicolas,284270,€5.00m,"Jun 5, 2025","Oct 21, 1997",27,1.93,Germany,[],Goalkeeper,,Bor. M'gladbach,,,"Jul 1, 2016","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Stefan Bell,82350,€800k,"Jun 5, 2025","Aug 24, 1991",33,1.92,Germany,[],Centre-Back,,1.FSV Mainz 05,,,"Jul 1, 2010","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
Daley Blind,12282,€1.50m,"Jun 9, 2025","Mar 9, 1990",35,1.8,Netherlands,[],Centre-Back,,Girona,,,"Jul 7, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",transfermarkt
