name,Age,Citizenship,Contract expiration,DOB,Height (m),ID,Joined,Last club,Market value history,Nationality,Other positions,Position,Since,Team,Transfer history,Value,Value last updated,assists,games,goals,id,key_passes,npg,npxG,position,red_cards,shots,source,team,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
Lukas Nmecha,26,[],"Jun 30, 2027","Dec 14, 1998",1.85,314288,"Jul 1, 2025",,,Germany,,Centre-Forward,,Leeds,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.00m,"Jun 5, 2025",0,16,4,6544,6,4,3.553670769557357,F S,0,22,understat,https://understat.com/team/Wolfsburg/2022,Wolfsburg,893,0.44907110556960106,3.553670769557357,0.7894729934632778,4.6232008170336485,3
Tobias Sippel,37,[],"Jun 30, 2026","Mar 22, 1988",1.83,31653,"Jul 1, 2015",,,Germany,,Goalkeeper,,Bor. M'gladbach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€300k,"Jun 5, 2025",0,6,0,214,0,0,0,GK S,0,0,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,510,0,0,1.0768810138106346,1.0768810138106346,1
Kevin Kampl,34,"['Germany', 'Slovenia']","Jun 30, 2026","Oct 9, 1990",1.78,53418,"Aug 31, 2017",,,Slovenia,"                0
0  Right Midfield
1   Left Midfield",Central Midfield,,RB Leipzig,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.50m,"Jun 5, 2025",2,30,2,188,12,2,0.7337436862289906,M S,0,7,understat,https://understat.com/team/RasenBallsport_Leipzig/2022,RasenBallsport Leipzig,1366,1.1259861383587122,0.7337436862289906,6.538844563066959,7.890383210033178,8
Salih Özcan,27,[],"Jun 30, 2026","Jan 11, 1998",1.83,244940,"Jul 1, 2022",,,Türkiye,,Defensive Midfield,,Bor. Dortmund,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 5, 2025",1,26,0,5294,10,0,0.9669527672231197,M S,0,3,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,1570,0.649039376527071,0.9669527672231197,8.718065526336432,9.854258436709642,6
Kristijan Jakic,28,[],"Jun 30, 2028","May 14, 1997",1.84,374954,"Jul 1, 2024",,,Croatia,,Defensive Midfield,,FC Augsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€6.50m,"Jun 5, 2025",0,24,1,9986,7,1,0.8977809008210897,D M S,0,8,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,1451,0.6532729091122746,0.8977809008210897,4.138799605425447,4.8774712746962905,4
Rafael Borré,29,[],"Dec 31, 2028","Sep 15, 1995",1.74,323831,"Mar 5, 2024",,,Colombia,,Centre-Forward,,Internacional,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€7.00m,"Jun 6, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Julian Brandt,29,[],"Jun 30, 2026","May 2, 1996",1.85,187492,"Jul 1, 2019",,,Germany,,Attacking Midfield,,Bor. Dortmund,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€25.00m,"Jun 5, 2025",8,32,9,261,72,9,5.173838408663869,F M S,0,42,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,2436,8.180333945900202,5.173838408663869,12.517931933514774,21.539732083678246,2
Daley Sinkgraven,30,[],"Jun 30, 2026","Jul 4, 1995",1.79,215099,"Feb 3, 2025",,,Netherlands,,Left-Back,,Fortuna Sittard,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€600k,"May 28, 2025",2,12,0,7899,6,0,0.179864096455276,D M S,0,5,understat,https://understat.com/team/Bayer_Leverkusen/2022,Bayer Leverkusen,345,1.7516733082011342,0.179864096455276,0.8132128929719329,2.5453466214239597,1
Robin Zentner,30,['Germany'],"Jun 30, 2028","Oct 28, 1994",1.95,160963,"Jul 1, 2014",,,Germany,,Goalkeeper,,1.FSV Mainz 05,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 5, 2025",0,26,0,449,1,0,0,GK,0,0,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,2340,0.0648099035024643,0,1.9446534560993314,1.9446534560993314,1
Nacho Ferri,20,['Spain'],"Jun 30, 2029","Oct 5, 2004",1.92,867357,"Jul 8, 2025",,,Spain,,Centre-Forward,,KVC Westerlo,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.20m,"Jun 12, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Jonas Hofmann,33,[],"Jun 30, 2027","Jul 14, 1992",1.76,7161,"Jul 5, 2023",,,Germany,,Attacking Midfield,,B. Leverkusen,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.00m,"Jun 5, 2025",9,31,12,320,99,12,6.566511252894998,M S,0,45,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,2703,11.074682033620775,7.324288273230195,7.284908747300506,18.388078302145004,2
Joe Scally,22,[],"Jun 30, 2027","Dec 31, 2002",1.84,504153,"Jan 1, 2021",,,United States,,Right-Back,,Bor. M'gladbach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€10.00m,"Jun 5, 2025",0,28,0,9674,13,0,0.6349932085722685,D S,0,8,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,2226,2.0152131840586662,0.6349932085722685,6.896413326263428,7.852450342848897,2
Thomas Delaney,33,[],"Jun 30, 2026","Sep 3, 1991",1.82,91849,"Jul 20, 2024",,,Denmark,,Central Midfield,,FC Copenhagen,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.20m,"Jun 16, 2025",0,6,0,5230,1,0,0.07486409693956375,M S,0,1,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,306,0.019503800198435783,0.07486409693956375,0.3452261984348297,0.4395939987152815,0
Dominik Kohr,31,[],"Jun 30, 2028","Jan 31, 1994",1.83,118847,"Jul 1, 2022",,,Germany,,Centre-Back,,1.FSV Mainz 05,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.50m,"Jun 5, 2025",0,30,3,269,16,3,2.4828245490789413,D M S,0,39,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,2292,1.029463890939951,2.4828245490789413,4.5542544750496745,7.438419679179788,11
Niklas Tauer,24,[],-,"Feb 17, 2001",1.83,470815,"Sep 27, 2019",,,Germany,,Defensive Midfield,,1.FSV Mainz 05,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€500k,"Jun 19, 2025",0,3,0,8847,0,0,0.08091890066862106,S,0,1,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,83,0,0.08091890066862106,0.10257210209965706,0.10257210209965706,0
Maurice Malone,24,[],"Jun 30, 2027","Aug 17, 2000",1.87,405568,"Jul 1, 2025",,,Germany,,Centre-Forward,,Austria Vienna,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.20m,"Jun 6, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Lucas Laux,22,[],"Jun 30, 2026","Oct 14, 2002",1.83,584062,"Jul 10, 2025",,,Germany,,Centre-Back,,Eintracht Trier,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€75k,"Jun 11, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Sebastiaan Bornauw,26,['Belgium'],"Jun 30, 2029","Mar 22, 1999",1.91,338629,"Jul 1, 2025",,,Belgium,"            0
0  Right-Back",Centre-Back,,Leeds,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€6.00m,"Jun 5, 2025",0,26,1,7791,1,1,0.429217092692852,D S,0,4,understat,https://understat.com/team/Wolfsburg/2022,Wolfsburg,1934,0.06051630154252052,0.429217092692852,4.557444838806987,4.605699745938182,8
Paul Wanner,19,[],"Jun 30, 2027","Dec 23, 2005",1.85,900909,"Jan 31, 2022",,,Germany,,Attacking Midfield,,Bayern Munich,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€18.00m,"Jun 5, 2025",0,2,0,10245,1,0,0,S,0,0,understat,https://understat.com/team/Bayern_Munich/2022,Bayern Munich,19,0.048703599721193314,0,0,0,1
Mert Kömür,20,"['Germany', 'Türkiye']","Jun 30, 2029","Jul 17, 2005",1.83,777005,"Jul 1, 2023",,,Germany,"                  0
0  Central Midfield",Attacking Midfield,,FC Augsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€5.00m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Adam Hlozek,23,[],"Jun 30, 2029","Jul 25, 2002",1.88,552057,"Aug 17, 2024",,,Czech Republic,,Second Striker,,TSG Hoffenheim,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€18.00m,"Jun 5, 2025",3,29,5,10774,18,5,2.6669578161090612,F M S,0,30,understat,https://understat.com/team/Bayer_Leverkusen/2022,Bayer Leverkusen,1291,2.6284044701606035,2.6669578161090612,3.3072979166172445,7.671263899188489,2
Munas Dabbur,33,[],-,"May 14, 1992",1.82,145866,"Jul 12, 2023",,,Israel,,Centre-Forward,,Shabab Al-Ahli,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.30m,"May 29, 2025",2,21,6,8140,16,6,3.77974421903491,F S,1,22,understat,https://understat.com/team/Hoffenheim/2022,Hoffenheim,897,1.7605633363127708,3.77974421903491,2.9085478112101555,7.799924962222576,3
Marcel Wenig,21,[],"Jun 30, 2027","May 4, 2004",1.88,654872,"Jul 1, 2025",,,Germany,,Attacking Midfield,,SSV Ulm 1846,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€300k,"Jun 11, 2025",0,1,0,11107,0,0,0,S,0,0,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,1,0,0,0,0,0
Arne Engels,21,[],"Jun 30, 2028","Sep 8, 2003",1.85,565435,"Aug 30, 2024",,,Belgium,,Central Midfield,,Celtic,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€12.00m,"Jun 17, 2025",3,18,0,11323,24,0,0.4481054097414017,M,0,17,understat,https://understat.com/team/Augsburg/2022,Augsburg,1460,2.4704787489026785,0.4481054097414017,2.508486784994602,3.7416284289211035,5
Delano Burgzorg,26,[],"Jun 30, 2028","Nov 7, 1998",1.86,436585,"Jul 1, 2024",,,Suriname,,Left Winger,,Middlesbrough,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.00m,"May 27, 2025",1,13,0,10368,1,0,0.08938729949295521,S,0,4,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,222,0.08183900266885757,0.08938729949295521,0.4000673219561577,0.5712936241179705,2
Aaron Zehnter,20,[],"Jun 30, 2030","Oct 31, 2004",1.8,730484,"Jul 1, 2025",,,Germany,,Left Midfield,,VfL Wolfsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€6.00m,"Jun 19, 2025",0,1,0,10863,0,0,0,S,0,0,understat,https://understat.com/team/Augsburg/2022,Augsburg,1,0,0,0,0,0
Mehdi Loune,21,[],,"May 14, 2004",1.72,519869,,E. Frankfurt II,,Germany,,Central Midfield,"Jul 1, 2025",Without Club,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€150k,"Jun 11, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Elvis Rexhbecaj,27,[],"Jun 30, 2026","Nov 1, 1997",1.82,280575,"Jul 27, 2022",,,Kosovo,,Central Midfield,,FC Augsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.50m,"Jun 5, 2025",0,31,0,6445,13,0,0.33429855294525623,M S,0,16,understat,https://understat.com/team/Augsburg/2022,Augsburg,2566,1.2082694992423058,0.33429855294525623,2.499745972454548,3.8194191930815578,6
Patrick Pentz,28,[],"Jun 30, 2028","Jan 2, 1997",1.83,223972,"Jul 1, 2024",,,Austria,,Goalkeeper,,Bröndby IF,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.50m,"Jun 16, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Thomas Meunier,33,[],"Jun 30, 2026","Sep 12, 1991",1.91,100986,"Jul 19, 2024",,,Belgium,,Right-Back,,LOSC Lille,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.00m,"Jun 3, 2025",0,10,0,5680,7,0,0.23376819770783186,D S,0,5,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,582,1.08432237803936,0.23376819770783186,3.7620590403676033,4.566876752302051,2
Christopher Nkunku,27,"['France', 'DR Congo']","Jun 30, 2029","Nov 14, 1997",1.77,344381,"Jul 1, 2023",,,France,"                    0
0  Attacking Midfield
1         Left Winger",Centre-Forward,,Chelsea,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€35.00m,"May 30, 2025",4,25,16,3300,38,13,13.25986534357071,F M S,0,74,understat,https://understat.com/team/RasenBallsport_Leipzig/2022,RasenBallsport Leipzig,1897,4.9029772616922855,16.290899142622948,4.799339268356562,19.322517298161983,4
Kilian Fischer,24,[],"Jun 30, 2027","Oct 12, 2000",1.82,435796,"Jul 1, 2022",,,Germany,,Right-Back,,VfL Wolfsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€6.00m,"Jun 5, 2025",0,10,0,11031,5,0,0.1338525004684925,D S,0,3,understat,https://understat.com/team/Wolfsburg/2022,Wolfsburg,501,0.355854369699955,0.1338525004684925,1.254663271829486,1.6006423700600863,2
Finn Dahmen,27,"['Germany', 'England']","Jun 30, 2027","Mar 27, 1998",1.86,251299,"Jul 1, 2023",,,Germany,,Goalkeeper,,FC Augsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€9.00m,"Jun 5, 2025",0,8,0,6596,0,0,0,GK,0,0,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,720,0,0,1.316108450293541,1.316108450293541,0
Jens Petter Hauge,25,[],"Dec 31, 2028","Oct 12, 1999",1.84,422355,"Jan 30, 2025",,,Norway,,Left Winger,,Bodø/Glimt,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€4.00m,"Jun 18, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Karim Bellarabi,35,"['Germany', 'Morocco']",,"Apr 8, 1990",1.84,61087,,B. Leverkusen,,Germany,"                0
0     Left Winger
1  Second Striker",Right Winger,"Jul 1, 2023",Retired,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",,,0,8,0,186,0,0,0,M S,0,0,understat,https://understat.com/team/Bayer_Leverkusen/2022,Bayer Leverkusen,78,0,0,0.3166132941842079,0.3166132941842079,0
Jeffrey Gouweleeuw,34,[],"Jun 30, 2026","Jul 10, 1991",1.88,106405,"Jan 9, 2016",,,Netherlands,,Centre-Back,,FC Augsburg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.50m,"Jun 5, 2025",1,32,0,2665,11,0,1.346700431779027,D,0,15,understat,https://understat.com/team/Augsburg/2022,Augsburg,2797,1.6698649385944009,1.346700431779027,2.035366779193282,2.683119592256844,12
Marco Pašalić,24,[],"Dec 31, 2027","Sep 14, 2000",1.77,395928,"Feb 5, 2025",,,Croatia,,Right Winger,,Orlando,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€5.00m,"Jun 5, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Zidan Sertdemir,20,[],"Dec 31, 2025","Feb 4, 2005",1.86,788445,"Jan 31, 2023",,,Denmark,,Central Midfield,,Nordsjaelland,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€2.00m,"Jun 16, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Noah Mbamba,20,[],"Jun 30, 2026","Jan 5, 2005",1.96,743395,"Feb 3, 2025",,,Belgium,,Central Midfield,,FCV Dender EH,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.50m,"Jun 12, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Dominik Szoboszlai,24,[],"Jun 30, 2028","Oct 25, 2000",1.87,451276,"Jul 2, 2023",,,Hungary,,Attacking Midfield,,Liverpool,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€80.00m,"May 30, 2025",7,31,6,9788,72,5,4.425510384142399,F M S,2,61,understat,https://understat.com/team/RasenBallsport_Leipzig/2022,RasenBallsport Leipzig,2461,9.276841456070542,5.183287084102631,10.23229293897748,19.720009319484234,3
Maximilian Brüll,22,[],"Jun 30, 2026","Aug 26, 2002",1.87,596103,"Jul 1, 2021",,,Germany,,Goalkeeper,,M'gladbach II,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€75k,"Jun 23, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Andreas Hanche-Olsen,28,[],"Jun 30, 2028","Jan 17, 1997",1.85,370683,"Jan 13, 2023",,,Norway,,Centre-Back,,1.FSV Mainz 05,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€6.00m,"Jun 5, 2025",2,17,1,11309,5,1,0.38988236989825964,D,0,7,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,1502,1.1407977100461721,0.38988236989825964,1.9861866347491741,2.177363358438015,5
Nico Schlotterbeck,25,[],"Jun 30, 2027","Dec 1, 1999",1.91,388198,"Jul 1, 2022",,,Germany,,Centre-Back,,Bor. Dortmund,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€40.00m,"Jun 5, 2025",5,28,4,7485,15,4,2.2176283886656165,D S,0,18,understat,https://understat.com/team/Borussia_Dortmund/2022,Borussia Dortmund,2256,2.331596754491329,2.2176283886656165,10.503425013273954,11.664632644504309,3
Oscar Fraulo,21,[],"Jun 30, 2026","Dec 6, 2003",1.8,610428,"Jul 1, 2022",,,Denmark,,Central Midfield,,Bor. M'gladbach,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€3.50m,"May 28, 2025",0,2,0,10728,0,0,0,S,0,0,understat,https://understat.com/team/Borussia_M.Gladbach/2022,Borussia M.Gladbach,5,0,0,0.024247264489531517,0.024247264489531517,0
Bartol Franjic,25,[],"Jun 30, 2026","Jan 14, 2000",1.88,370998,"Jul 10, 2025",,,Croatia,,Left-Back,,Venezia,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.50m,"Jun 9, 2025",1,5,0,10733,2,0,0.4416798986494541,M S,0,2,understat,https://understat.com/team/Wolfsburg/2022,Wolfsburg,232,0.30588749796152115,0.4416798986494541,0.27550750225782394,0.5967073999345303,0
Philipp Schulze,22,[],"Jun 30, 2027","Jan 29, 2003",1.9,574203,"Jul 1, 2025",,,Germany,,Goalkeeper,,SC Verl,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€350k,"Jun 11, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Leandro Barreiro,25,[],"Jun 30, 2029","Jan 3, 2000",1.74,357233,"Jul 2, 2024",,,Luxembourg,,Central Midfield,,Benfica,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€15.00m,"May 30, 2025",,,,,,,,,,,transfermarkt,,,,,,,,
Anton Stach,26,[],"Jun 30, 2029","Nov 15, 1998",1.94,344069,"Jul 22, 2025",,,Germany,,Defensive Midfield,,Leeds,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€14.00m,"Jun 5, 2025",4,30,1,9910,31,1,2.024175141006708,M S,0,36,understat,https://understat.com/team/Mainz_05/2022,Mainz 05,2080,3.7558081168681383,2.024175141006708,3.076814828440547,6.682561932131648,4
Tuta,26,[],"Jun 30, 2026","Jul 4, 1999",1.85,546213,"Jan 31, 2019",,,Brazil,,Centre-Back,,E. Frankfurt,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€15.00m,"Jun 5, 2025",1,31,2,7524,5,2,2.1293888464570045,D S,0,17,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,2717,0.7720028860494494,2.1293888464570045,9.43330561183393,10.755547817796469,8
Timothy Chandler,35,[],"Jun 30, 2026","Mar 29, 1990",1.87,49723,"Jul 1, 2014",,,United States,,Right-Back,,E. Frankfurt,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€350k,"Jun 5, 2025",0,6,0,359,1,0,0,S,0,0,understat,https://understat.com/team/Eintracht_Frankfurt/2022,Eintracht Frankfurt,74,0.030308399349451065,0,0.9232036024332047,0.9535116106271744,0
Lukas Petkov,24,[],"Jun 30, 2027","Nov 1, 2000",1.83,401639,"Aug 21, 2024",,,Bulgaria,,Right Winger,,SV Elversberg,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€1.20m,"Jun 19, 2025",0,7,0,9127,0,0,0.03407829999923706,S,0,2,understat,https://understat.com/team/Augsburg/2022,Augsburg,126,0,0.03407829999923706,0,0.03407829999923706,1
Reece Oxford,26,[],,"Dec 16, 1998",1.9,314295,,FC Augsburg,,England,,Centre-Back,"Jul 1, 2025",Without Club,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€500k,"Jun 5, 2025",0,3,0,543,1,0,0,D S,0,0,understat,https://understat.com/team/Augsburg/2022,Augsburg,93,0.07660800218582153,0,0,0.07660800218582153,0
Max Kruse,37,[],-,"Mar 19, 1988",1.8,36182,"Apr 19, 2024",,,Germany,,Second Striker,,BSV Dersim II,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",,,0,5,0,155,3,0,0.6018323972821236,M S,0,9,understat,https://understat.com/team/Wolfsburg/2022,Wolfsburg,261,0.08793669939041138,0.6018323972821236,0.9206733927130699,1.4237679988145828,0
Jérôme Roussillon,32,[],,"Jan 6, 1993",1.75,127076,,Union Berlin,,Guadeloupe,,Left-Back,"Jul 1, 2025",Without Club,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []",€800k,"Jun 5, 2025",2,16,0,3339,6,0,0.5452681872993708,D S,0,9,understat,https://understat.com/team/Union_Berlin/2022,Union Berlin,974,1.0674054101109505,0.5452681872993708,1.9763552276417613,3.190358817577362,2
